City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Todos Santos,MX,23.45,-110.2167,78.01,84,19,6.31,few clouds
1,Marawi,PH,7.9986,124.2928,74.64,88,100,4.7,light rain
2,Berdigestyakh,RU,62.0989,126.6992,35.08,86,100,11.77,overcast clouds
3,Bluff,NZ,-46.6,168.3333,54.5,77,98,13.11,overcast clouds
4,Ulladulla,AU,-35.35,150.4667,82.76,58,51,9.6,broken clouds
5,Casa Nova,BR,-9.4167,-41.1333,76.98,66,97,10.51,overcast clouds
6,Luanda,AO,-8.8368,13.2343,76.62,80,93,6.73,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,74.01,85,2,20.31,clear sky
8,Rudsar,IR,37.1376,50.288,62.65,61,0,1.5,clear sky
9,Floro,NO,61.5996,5.0328,40.96,81,20,9.22,few clouds
10,Fasa,IR,28.9383,53.6482,71.08,22,0,2.33,clear sky
11,Albany,US,42.6001,-73.9662,42.75,84,41,5.99,scattered clouds
12,Dingle,PH,10.9995,122.6711,82.06,83,72,9.78,broken clouds
13,Provideniya,RU,64.3833,-173.3,25.59,76,100,8.1,overcast clouds
14,Tautira,PF,-17.7333,-149.15,75.22,91,90,29.86,moderate rain
15,Sitka,US,57.0531,-135.33,49.89,62,90,12.66,light rain
16,Nelson Bay,AU,-32.7167,152.15,85.28,78,7,17.65,light rain
17,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,18.41,clear sky
18,Dikson,RU,73.5069,80.5464,12.88,89,95,18.19,overcast clouds
19,Pitimbu,BR,-7.4706,-34.8086,75.79,79,28,9.26,scattered clouds
20,Maldonado,UY,-34.6667,-54.9167,58.39,98,96,6.78,light rain
21,Hermanus,ZA,-34.4187,19.2345,60.8,75,92,21.61,moderate rain
22,Busselton,AU,-33.65,115.3333,74.05,52,7,6.78,clear sky
23,Boa Vista,BR,2.8197,-60.6733,76.98,83,75,4.61,broken clouds
24,Sakaiminato,JP,35.55,133.2333,60.08,56,74,13.85,broken clouds
25,Jamestown,US,42.097,-79.2353,45.72,92,90,1.99,overcast clouds
26,Faya,SA,18.3851,42.4509,66.72,21,66,10.02,broken clouds
27,Yashkino,RU,55.8736,85.4265,36.55,58,97,19.82,overcast clouds
28,Khatanga,RU,71.9667,102.5,11.1,87,99,14.67,overcast clouds
29,Cherskiy,RU,68.75,161.3,-7.08,100,99,3.22,overcast clouds
