City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tiksi,RU,2021-10-23 00:39:30,71.6872,128.8694,3.6,99,100,2.28
1,Sibolga,ID,2021-10-23 00:39:31,1.7427,98.7792,79.97,76,85,2.15
2,Klamath Falls,US,2021-10-23 00:36:40,42.2249,-121.7817,48.87,72,40,1.01
3,Hobart,AU,2021-10-23 00:37:22,-42.8794,147.3294,56.01,93,75,1.99
4,Urumqi,CN,2021-10-23 00:39:32,43.801,87.6005,36.55,81,75,8.95
5,Mahebourg,MU,2021-10-23 00:39:32,-20.4081,57.7,72.25,100,75,3.44
6,Georgetown,MY,2021-10-23 00:39:32,5.4112,100.3354,80.53,88,20,1.01
7,Tibati,CM,2021-10-23 00:39:33,6.4667,12.6333,66.49,97,100,0.85
8,Iisalmi,FI,2021-10-23 00:39:33,63.5592,27.1907,33.82,90,100,12.44
9,Nsoko,SZ,2021-10-23 00:39:34,-27.0333,31.95,77.14,79,0,0.31
10,Namibe,AO,2021-10-23 00:39:34,-15.1961,12.1522,64.38,71,93,11.54
11,Otane,NZ,2021-10-23 00:39:34,-39.8833,176.6333,59.38,51,100,9.75
12,Albany,US,2021-10-23 00:37:12,42.6001,-73.9662,49.95,76,8,5.55
13,Kijang,KR,2021-10-23 00:39:35,35.2442,129.2139,55.13,52,0,7.78
14,Mayo,US,2021-10-23 00:39:36,38.8876,-76.5119,63.48,84,20,0.0
15,Klaksvik,FO,2021-10-23 00:39:36,62.2266,-6.589,45.52,75,100,24.72
16,Bluff,NZ,2021-10-23 00:39:36,-46.6,168.3333,57.09,65,99,9.53
17,Ribeira Grande,PT,2021-10-23 00:39:37,38.5167,-28.7,69.49,84,10,9.71
18,Carnarvon,AU,2021-10-23 00:39:37,-24.8667,113.6333,75.27,38,0,17.27
19,Arteche,PH,2021-10-23 00:39:38,12.2645,125.4048,78.22,87,100,5.99
20,New Norfolk,AU,2021-10-23 00:39:38,-42.7826,147.0587,55.65,87,100,0.81
21,Poronaysk,RU,2021-10-23 00:39:38,49.2167,143.1167,43.5,52,16,9.15
22,Atuona,PF,2021-10-23 00:39:39,-9.8,-139.0333,77.9,79,23,16.69
23,Rio Cuarto,AR,2021-10-23 00:39:39,-33.1307,-64.3499,62.37,82,75,13.8
24,Hithadhoo,MV,2021-10-23 00:39:40,-0.6,73.0833,82.02,73,100,11.52
25,Kodiak,US,2021-10-23 00:39:40,57.79,-152.4072,44.11,76,90,18.41
26,Busselton,AU,2021-10-23 00:39:40,-33.65,115.3333,62.04,59,0,4.9
27,Tura,IN,2021-10-23 00:39:41,25.5198,90.2201,66.04,80,0,3.53
28,Longyearbyen,SJ,2021-10-23 00:39:42,78.2186,15.6401,15.64,79,20,3.44
29,Aleksandrovsk-Sakhalinskiy,RU,2021-10-23 00:39:42,50.8975,142.1561,41.5,69,98,12.41
30,Kapaa,US,2021-10-23 00:37:14,22.0752,-159.319,82.38,78,75,5.01
31,Supaul,IN,2021-10-23 00:39:43,26.1167,86.6,72.39,82,52,5.37
32,Ahuimanu,US,2021-10-23 00:39:43,21.4447,-157.8378,87.51,63,40,12.66
33,Margate,GB,2021-10-23 00:39:43,51.3813,1.3862,51.31,82,11,1.99
34,Bethel,US,2021-10-23 00:39:44,41.3712,-73.414,61.92,73,90,0.0
35,Qaanaaq,GL,2021-10-23 00:39:44,77.484,-69.3632,-0.62,64,0,8.3
36,Erzin,TR,2021-10-23 00:39:45,36.9559,36.2,52.52,36,0,2.82
37,Dingle,PH,2021-10-23 00:39:45,10.9995,122.6711,82.31,80,52,11.54
38,Valdivia,CL,2021-10-23 00:39:45,-39.8142,-73.2459,51.89,85,94,1.54
39,Athabasca,CA,2021-10-23 00:39:46,54.7169,-113.2854,47.23,46,100,14.25
40,Bilibino,RU,2021-10-23 00:39:46,68.0546,166.4372,-0.9,97,98,2.08
41,Vaini,TO,2021-10-23 00:39:47,-21.2,-175.2,78.96,78,40,12.66
42,Anadyr,RU,2021-10-23 00:39:47,64.75,177.4833,12.7,85,90,13.0
43,Kavaratti,IN,2021-10-23 00:39:48,10.5669,72.642,81.82,76,40,3.78
44,Melito Di Porto Salvo,IT,2021-10-23 00:39:48,37.9222,15.7714,73.15,82,75,5.75
45,Qasigiannguit,GL,2021-10-23 00:39:49,68.8193,-51.1922,3.76,75,31,7.61
46,Punta Arenas,CL,2021-10-23 00:38:34,-53.15,-70.9167,39.31,81,20,26.46
47,Faya,SA,2021-10-23 00:39:49,18.3851,42.4509,55.92,35,98,6.06
48,Weligama,LK,2021-10-23 00:39:50,5.9667,80.4167,78.33,79,98,5.14
49,Bandarbeyla,SO,2021-10-23 00:39:50,9.4942,50.8122,76.3,82,21,3.44
50,Mayumba,GA,2021-10-23 00:39:51,-3.432,10.6554,77.09,88,100,5.53
51,Petropavlovsk-Kamchatskiy,RU,2021-10-23 00:39:51,53.0452,158.6483,36.19,65,75,4.47
52,Tecoanapa,MX,2021-10-23 00:39:52,16.5167,-98.75,75.16,92,100,9.17
53,Esperance,AU,2021-10-23 00:39:52,-33.8667,121.9,60.64,57,6,7.11
54,Puerto Ayora,EC,2021-10-23 00:39:53,-0.7393,-90.3518,69.94,86,24,8.3
55,Sayyan,YE,2021-10-23 00:39:53,15.1718,44.3244,52.88,40,9,8.86
56,Bengkulu,ID,2021-10-23 00:39:54,-3.8004,102.2655,79.02,80,89,1.52
57,Souillac,MU,2021-10-23 00:39:54,-20.5167,57.5167,72.36,100,75,3.44
58,Khandbari,NP,2021-10-23 00:39:54,27.3747,87.2039,64.0,95,99,0.6
59,Vardo,NO,2021-10-23 00:39:55,70.3705,31.1107,35.29,59,100,20.69
60,Thompson,CA,2021-10-23 00:39:55,55.7435,-97.8558,33.96,80,90,6.91
61,Seoul,KR,2021-10-23 00:39:56,37.5683,126.9778,53.04,73,0,1.14
62,Yellowknife,CA,2021-10-23 00:39:56,62.456,-114.3525,43.41,67,40,19.57
63,Saint-Philippe,RE,2021-10-23 00:39:56,-21.3585,55.7679,72.95,81,33,7.99
64,Bucerias,MX,2021-10-23 00:36:03,20.75,-105.3333,87.78,70,75,5.75
65,Avarua,CK,2021-10-23 00:39:57,-21.2078,-159.775,75.25,60,20,8.05
66,Shuiji,CN,2021-10-23 00:39:57,27.4214,118.345,53.29,96,100,2.1
67,Raudeberg,NO,2021-10-23 00:39:58,61.9875,5.1352,43.47,73,92,3.0
68,Tamale,GH,2021-10-23 00:39:58,9.4008,-0.8393,76.51,86,100,5.14
69,Clyde River,CA,2021-10-23 00:36:30,70.4692,-68.5914,21.0,75,100,6.22
70,Mataura,NZ,2021-10-23 00:39:59,-46.1927,168.8643,71.69,40,99,0.94
71,Bredasdorp,ZA,2021-10-23 00:39:59,-34.5322,20.0403,57.27,82,100,16.11
72,Pontianak,ID,2021-10-23 00:40:00,-0.0333,109.3333,75.18,94,40,4.61
73,Khatanga,RU,2021-10-23 00:40:00,71.9667,102.5,0.28,96,96,9.89
74,Arraial Do Cabo,BR,2021-10-23 00:40:01,-22.9661,-42.0278,69.76,88,40,6.91
75,Saint-Augustin,CA,2021-10-23 00:40:01,51.226,-58.6502,43.5,68,100,7.76
76,Hermanus,ZA,2021-10-23 00:40:02,-34.4187,19.2345,57.79,87,100,27.0
77,Castro,BR,2021-10-23 00:40:03,-24.7911,-50.0119,56.19,79,0,3.71
78,Port Elizabeth,ZA,2021-10-23 00:40:04,-33.918,25.5701,61.09,67,0,3.44
79,Bilma,NE,2021-10-23 00:40:04,18.6853,12.9164,80.02,18,0,7.78
80,Khuzdar,PK,2021-10-23 00:40:05,27.7384,66.6434,58.46,23,0,9.48
81,Hay River,CA,2021-10-23 00:35:58,60.8156,-115.7999,44.58,57,75,13.8
